CATEGORY
RFG POURABLE SALAD DRESSING
INSTANT COFFEE
TEA - BAGS_LOOSE
GROUND COFFEE
INSTANT TEA MIXES
SINGLE CUP TEA
CHOCOLATE MILK FLAVORING
NON CHOCOLATE MILK FLAVORING MIXES
ICE CREAM
FZ YOGURT_TOFU
FZ COOKIE DOUGH
FZ NOVELTIES
ICE MLK_FZ DAIRY DESSERT
SHERBET_SORBET_ICES
DRY SOUP
NON CHOCOLATE CHEWY CANDY
CHOCOLATE CANDY BOX_BAG_BAR > 3.5OZ
MAYONNAISE_SANDWICH SPREAD
MUSTARD
KETCHUP
MEAT SAUCE_MARINADE_GLAZE
DRY SAUCE MIXES
HORSERADISH_HORSERADISH SAUCE
DRY MEAT_SEAFOOD SEASONING MIXES
CAKE_CUPCAKE_PIE MIXES
SOY SAUCE
ALL OTHER SS ASIAN SAUCE_MARINADE
ALL OTHER DRY SEASONING MIXES
COOKING STARCHES_RENNET
PUDDING_PIE FILLING_MOUSSE MIXES
GELATIN DESSERT MIXES
SPAGHETTI_ITALIAN SAUCE
HOT_CAJUN SAUCE
CHOCOLATE CANDY BOX_BAG_BAR < 3.5OZ
DRY SALAD_SIDE DISH MIXES
BOUILLON
DRY GRAVY MIXES
WET BROTH_STOCK
READY TO SERVE RICE
DRY BROTH_STOCK
SS INSTANT POTATOES
RTS WET SOUP
DRY MACARONI & CHEESE MIXES
ALL OTHER BAKING MIXES
LIQUID GRAVY
TOMATO SAUCE
SS MICROWAVEABLE PACKAGE DINNER
SS PREPARED DINNERS_ENTREES
TUNA
PICKLES
NOODLES
FLOUR
CONVENIENCE_PET STILL WATER
SELTZER_SPARKLING_MINERAL
JUG_BULK STILL WATER
WHOLE COFFEE BEANS
CAPPUCCINO_ICED COFFEE
HOT COCOA
POWDERED MILK
COFFEE CONCENTRATE
SINGLE CUP COFFEE
SS BOTTLED FRUIT DRINKS
SS BOTTLED APPLE JUICE
COFFEE CREAMER - SS
SS BOTTLED JUICE AND DRINK SMOOTHIES
INSTANT DECAFFEINATED COFFEE
CANNED AND BOTTLED TEA
LIQUID FRUIT DRINK MIXES
READY TO DRINK ALMOND MILK
SS ENERGY DRINKS NON-ASEPTIC
READY TO DRINK MILK_MILK SUBSTITUTES-ALL OTHER
SS NON-FRUIT DRINKS
CANNED JUICE DRINKS
ASEPTIC JUICES
SS BOTTLED SPARKLING JUICE
TONIC WATER_CLUB SODA
FZ DRINK_COCKTAIL DRINK CONCENTRATE
FZ RAVIOLI
FZ TORTELLINI_TORTELLONI
MULTI SERVE FZ DINNERS_ENTREES
FZ PIZZA
FZ PIZZA KITS_TOPPINGS
FZ HANDHELD ENTREES _NON-BREAKFAST_
FZ APPETIZERS_SNACK ROLLS
FZ BREAKFAST HANDHELD
FZ BREAKFAST ENTREES
FZ SWEET GOODS - NO CHEESECAKES
SINGLE SERVE FZ DINNERS_ENTREES
FZ SOUP
FZ PRETZELS
FZ PIES
PROCESSED FZ_RFG CHICKEN_CHICKEN SUB
FZ_RFG TURKEY_TURKEY SUBSTITUTE
FZ SIDE DISHES
FZ A_O PASTA_NOODLES
FZ POT PIES
FZ FISH_SEAFOOD
FZ MEAT _NO POULTRY_
FZ_RFG MEAT SUBSTITUTES
FZ BREADED VEGETABLES
CHIPS_BAKING CHOCOLATE_COCOA
SEASONAL NON-CHOCOLATE HALLOWEEN CANDY
NUTRITIONAL_INTRINSIC HEALTH VALUE BARS
GIFT BOX CHOCOLATES
INSTANT BREAKFAST
READY-TO-DRINK BREAKFAST MEALS
DAIRY SAUCE_CHEESE SAUCE
EVAPORATED_CONDENSED MILK
EXTRACT_FLAVORING_FOOD COLORING
HOT CEREAL_OATMEAL
SEASONAL CHOCOLATE CHRISTMAS CANDY
COOKIES
SS PREPARED CHILI
CHILI_HOT DOG SAUCE
HARD SUGAR CANDY_PKG & ROLL CANDY
SEASONAL CHOCOLATE AO SEASONAL CANDY
BABY FORMULA - RTD
CAKES _NO SNACK_COFFEE CAKES_
BABY FOOD_SNACKS
BABY JUICE
BABY FORMULA - POWDER
BABY FORMULA LIQUID CONCENTRATE
APPLESAUCE_FRUIT SAUCE
BABY ELECTROLYTES - RTD
ALL OTHER SNACK_GRANOLA BARS
GRANOLA BARS
OTHER SALTED SNACKS _NO NUTS_
ALL OTHER CRACKERS
CHOCOLATE COVERED SALTED SNACK
PRETZELS
CAROB_YOGURT COATED SNACKS
BREAD MIXES
PIE_PASTRY FILLING
SS ASIAN FOOD ITEMS
SPAGHETTI_MACARONI_PASTA _NO NOODLES_
ALL OTHER MEXICAN SAUCE_MARINADE
CHOCOLATE SYRUP_DESSERT TOPPINGS
SALTINE CRACKERS
SEASONAL CHOCOLATE HALLOWEEN CANDY
SEASONAL CHOCOLATE EASTER CANDY
COFFEE CAKE_GINGERBREAD_PASTRY MIXES
CANDY MAKING MIX_KIT_MOLD
SEASONAL NON-CHOCOLATE CHRISTMAS CANDY
PREPARED PUDDING
FRUIT FLAVORED SYRUP
READY-TO-EAT CEREAL
PLAIN MINTS
NOVELTY NON-CHOCOLATE CANDY
COOKIE_COOKIE BAR MIXES
BROWNIE MIXES
EDIBLE CAKE DECORATIONS
CORN SNACKS _NO TORTILLA CHIPS_
CHEESE SNACKS
CROUTONS _NO STUFFING CROUTONS_
MATZOH CRACKERS
BREADCRUMBS
OLIVES
DRIED BEANS_GRAINS
PANCAKE_FRENCH TOAST_WAFFLE MIXES
READY-TO-EAT POPCORN_CARAMEL CORN
MATZOH MEAL
PEPPERS_PIMENTOS
SS PREPARED PASTA DISHES
POTATO CHIPS
SEASONAL CHOCOLATE VALENTINE CANDY
PASTRY_DANISH_COFFEE CAKES
SS SNACK_CUPCAKE_BROWNIE
CANNED AND BOTTLED TOMATOES
JERKY
BROWN_POWDER_FLAVORED SUGAR
DOMESTIC BEER_ALE _INC NON-ALCOHOLIC_
RFG READY-TO-DRINK COFFEE
RFG SAUCE_GRAVY_MARINADE MIXES
RFG PASTA_NOODLE
NATURAL CHEESE-SHREDDED
RFG DAIRY HALF & HALF
RFG GRAPE JUICE
RFG HANDHELD NON-BREAKFAST ENTREES
RFG BREAKFAST ENTREES
RFG COFFEE CREAMER
RFG COOKIE_BROWNIE DOUGH
RFG MILK SUBSTITUTES - ALL OTHER
RFG FLAVORED MILK_EGGNOG_BUTTERMILK
RFG DAIRY CREAM
RFG DOUGH _PASTRY_DUMPLING_
RFG POT PIES
RFG SLICED LUNCHMEAT
RFG DINNERS_ENTREES
RFG FLAVORED SPREADS
RFG APPETIZERS_SNACK ROLLS
LIQUID COCKTAIL MIXES
ALL OTHER DRIED MEAT SNACKS
SPIRITS
IMPORTED TABLE_STILL WINE
PREMIXED COCKTAILS_COOLERS
DOMESTIC TABLE_STILL WINE
IMPORTED BEER_ALE _INC NON-ALCOHOLIC_
SHERRY_VERMOUTH_CHAMPAGNE
DOMESTIC BEER_ALE _INC NON-ALCOHOLIC_
JERKY
